words,tag
public,B-SKILLS
cloud,B-SKILLS
and,O
data,O
center,O
technologies,O
     ,O
extensive,O
experience,O
with,O
leading,O
global,O
business,O
and,O
large,O
scale,O
it,O
transformation,O
programs,O
     ,O
unique,O
exposure,O
to,O
enterprise,O
grade,O
green,O
field,O
software,O
defined,O
datacenter,O
implementations,O
     ,O
developer,O
of,O
proprietary,O
project,O
management,O
methodology,O
        ,O
experience,O
           ,O
wwt,O
catholic,O
health,O
initiatives–,O
nationwide,O
next,O
generation,O
converged,O
infrastructure,O
datacenter,O
design,O
implementation,O
workload,O
migration,O
  ,O
houston,B-COMPANY
tx,I-COMPANY
remote,I-COMPANY
  ,O
2016,B-DATE
  ,O
present,B-DATE
  ,O
management,O
consultant,O
  ,O
technical,O
pm,O
  ,O
architect,O
     ,O
designed,O
and,O
implemented,O
green,O
field,O
converged,O
infrastructure,O
based,O
on,O
hpe,O
vmware,O
cisco,B-SKILLS
3par,O
solutions,O
  ,O
successfully,O
managed,O
migration,O
of,O
  ,O
100,O
critical,O
and,O
legacy,O
applications,O
to,O
the,O
new,O
hybrid,B-SKILLS
cloud,I-SKILLS
environment,O
   ,O
advised,O
the,O
client,O
on,O
sla,B-SKILLS
optimization,I-SKILLS
ensuring,O
999,B-NUMBER
  ,O
critical,O
systems,O
uptime,O
  ,O
guided,O
the,O
vendor,O
to,O
avoid,O
costly,O
litigation,O
issues,O
by,O
leveraging,O
latest,O
forecasting,O
and,O
trending,B-SKILLS
analysis,I-SKILLS
   ,O
managed,O
  ,O
five,B-NUMBER
data,O
centers,O
delivery,O
projects,O
agile,B-SKILLS
  ,O
scrum,O
  ,O
proprietary,O
methodologies,O
resulted,O
in,O
new,O
larger,O
contract,O
win,O
for,O
wwt,O
               ,O
technology,O
   ,O
hpe,B-SKILLS
cs700,O
  ,O
hc380,B-SKILLS
hci,B-SKILLS
vsphere,B-SKILLS
6065,I-SKILLS
vrealize,B-SKILLS
emc,B-SKILLS
3ppar,B-SKILLS
cisco,B-SKILLS
nexus,B-SKILLS
brocade,O
   ,O
virtustream,B-SKILLS
emc,I-SKILLS
–,O
private,B-SKILLS
cloud,I-SKILLS
automation,O
cmdb,B-SKILLS
integration,I-SKILLS
   ,O
southborough,B-COMPANY
ma,I-COMPANY
remote,I-COMPANY
  ,O
2015,B-DATE
  ,O
2016,B-DATE
  ,O
senior,B-SKILLS
technical,I-SKILLS
business,I-SKILLS
systems,I-SKILLS
architect,I-SKILLS
  ,O
pm,O
    ,O
designed,O
high,O
level,O
datacenter,O
automation,O
architecture,O
  ,O
proposed,O
solutions,O
for,O
integration,O
process,O
and,O
architecture,O
leveraging,O
vrealize,O
automation,O
service,O
now,O
active,O
directory,O
and,O
emc,B-SKILLS
storage,O
abstraction,O
software,O
layers,O
  ,O
managed,O
devops,O
team,O
responsible,O
for,O
cloud,B-SKILLS
automation,I-SKILLS
and,O
orchestration,O
  ,O
successfully,O
managed,O
design,O
for,O
vce,O
vblock,O
monitoring,O
platform,O
      ,O
technology,O
  ,O
vmware,O
vrealize,O
   ,O
vce,O
  ,O
ms,B-SKILLS
sql,I-SKILLS
  ,O
servicenow,B-SKILLS
  ,O
emc,B-SKILLS
vipr,I-SKILLS
  ,O
vmware,B-SKILLS
whirlpool,I-SKILLS
–,O
virtual,O
infrastructure,O
assessment,O
data,O
consolidation,O
and,O
performance,O
analysis,O
best,O
practices,O
on,O
hybrid,B-SKILLS
cloud,I-SKILLS
design,O
and,O
workload,O
migrations,O
   ,O
st,B-COMPANY
joseph,I-COMPANY
mi,I-COMPANY
  ,O
late,B-DATE
2015,I-DATE
  ,O
business,O
solutions,O
consultant,O
  ,O
architect,O
    ,O
developed,O
baseline,O
analysis,O
for,O
vcloud,B-SKILLS
air,B-SKILLS
and,O
aws,B-SKILLS
application,O
migrations,O
  ,O
identified,O
critical,O
areas,O
in,O
the,O
infrastructure,O
introducing,O
proactive,O
remediation,O
cost,O
savings,O
over,O
30,B-NUMBER
reduction,O
  ,O
created,O
analysis,O
and,O
implementation,O
plan,O
for,O
webmail,O
to,O
g,O
suite,O
migration,O
  ,O
advised,O
on,O
aws,B-SKILLS
environment,I-SKILLS
best,O
practices,O
configurationec2,O
elb,B-SKILLS
vpc,B-SKILLS
s3,B-SKILLS
route53,B-SKILLS
    ,O
technology,O
  ,O
vsphere,B-SKILLS
55,O
  ,O
aws,B-SKILLS
  ,O
vcloud,B-SKILLS
air,I-SKILLS
  ,O
cisco,B-SKILLS
ucs,B-SKILLS
  ,O
biogen,O
  ,O
–,O
it,B-COMPANY
operations,I-COMPANY
msp,I-COMPANY
assessment,I-COMPANY
boston,I-COMPANY
rtp,I-LOCATION
denmark,B-LOCATION
  ,O
mid,B-DATE
2015,I-DATE
  ,O
business,O
solutions,O
architect,O
    ,O
led,O
information,O
gathering,O
activities,O
team,O
interviews,O
system,O
scans,O
documentation,O
reviews,O
data,O
center,O
visits,O
  ,O
conducted,O
assessment,O
data,O
dissemination,O
and,O
analysis,O
leveraging,O
latest,O
bi,O
and,O
infrastructure,O
intelligence,O
tools,O
  ,O
created,O
integrated,O
architecture,O
solution,O
deliverables,O
for,O
infrastructure,O
data,O
center,O
and,O
end,O
user,O
computing,O
   ,O
utilized,O
cobit5,B-SKILLS
itil,I-SKILLS
and,O
nist,B-SKILLS
frameworks,I-SKILLS
to,O
review,O
existing,O
disaster,O
recovery,O
and,O
business,O
continuity,O
solutions,O
   ,O
presented,O
recommendations,O
to,O
cio,O
vp,O
and,O
it,O
directors,O
  ,O
identified,O
long,O
term,O
business,O
impact,O
based,O
on,O
the,O
tactical,O
and,O
strategic,O
changes,O
discovered,O
potential,O
infrastructure,O
savings,O
over,O
2,O
million,O
dollars,O
      ,O
technology,O
  ,O
cisco,B-SKILLS
rs,B-SKILLS
  ,O
cisco,B-SKILLS
nexus,B-SKILLS
  ,O
solarwinds,B-SKILLS
  ,O
vsphere,B-SKILLS
  ,O
emc,B-SKILLS
vnx,I-SKILLS
  ,O
emc,B-SKILLS
vmax,I-SKILLS
  ,O
ms,B-SKILLS
server,I-SKILLS
  ,O
rhel,B-SKILLS
  ,O
ms,B-SKILLS
ad,I-SKILLS
dns,I-SKILLS
  ,O
emc,B-SKILLS
–,O
software,O
defined,O
datacenter,O
design,O
and,O
implementation,O
southborough,O
ma,O
  ,O
2014,B-DATE
  ,O
2015,B-DATE
  ,O
senior,B-SKILLS
business,I-SKILLS
systems,I-SKILLS
consultant,I-SKILLS
  ,O
product,O
manager,O
     ,O
defined,O
product,O
vision,O
and,O
implementation,O
strategy,O
  ,O
identified,O
technology,O
verticals,O
suitable,O
for,O
transitioning,O
company,O
s,O
datacenters,O
to,O
  ,O
green,O
field,O
  ,O
steady,O
state,O
and,O
infrastructure,O
automation,O
adoption,O
  ,O
defined,O
business,O
requirements,O
for,O
a,O
new,O
iaas,B-SKILLS
paas,B-SKILLS
and,O
saas,B-SKILLS
platform,I-SKILLS
design,O
  ,O
advised,O
on,O
infrastructure,O
as,O
a,O
code,O
projects,O
agile,B-SKILLS
cicd,I-SKILLS
development,O
devops,O
initiatives,O
   ,O
identified,O
potential,O
roadblocks,O
for,O
the,O
program,O
enterprise,O
wide,O
cost,O
savings,O
close,O
to,O
30,O
of,O
overall,O
budget,O
proposed,O
a,O
new,O
delivery,O
methodology,O
for,O
the,O
program,O
increased,O
program,O
success,O
rate,O
by,O
50,O
     ,O
technology,O
  ,O
vsphere,B-SKILLS
   ,O
vrealize,O
  ,O
vcloud,B-SKILLS
air,I-SKILLS
  ,O
cloudfoundry,O
  ,O
nsx,B-SKILLS
  ,O
vce,B-SKILLS
vblock,I-SKILLS
  ,O
chef,B-SKILLS
  ,O
puppet,B-SKILLS
  ,O
emc,B-SKILLS
vipr,I-SKILLS
  ,O
emc,B-SKILLS
vmax,I-SKILLS
  ,O
emc,B-SKILLS
vplex,I-SKILLS
  ,O
versionone,B-SKILLS
  ,O
keolis,O
–,O
hybrid,B-COMPANY
cloud,I-COMPANY
office,I-COMPANY
365,O
messaging,O
services,O
implementation,O
   ,O
mid,B-DATE
2014,I-DATE
  ,O
hybrid,B-SKILLS
cloud,I-SKILLS
architect,O
  ,O
project,B-SKILLS
manager,I-SKILLS
    ,O
managed,O
hybrid,B-SKILLS
cloud,I-SKILLS
infrastructure,O
implementation,O
  ,O
conducted,O
onpremises,O
infrastructure,O
integration,O
with,O
azure,B-SKILLS
platform,O
office365,O
services,O
hosted,O
datacenter,O
and,O
remote,O
offices,O
  ,O
orchestrated,O
messaging,O
security,O
services,O
implementation,O
  ,O
managed,O
third,O
party,O
vendors,O
during,O
the,O
infrastructure,O
migration,O
phase,O
reporting,O
to,O
cio,O
  ,O
completed,O
zero,O
downtime,O
transition,O
of,O
critical,O
infrastructure,O
services,O
to,O
a,O
new,O
cloud,O
platform,O
managed,O
project,O
delivery,O
on,O
time,O
saving,O
the,O
company,O
millions,O
of,O
dollars,O
on,O
public,O
relations,O
campaigns,O
and,O
consulting,O
costs,O
      ,O
technology,O
  ,O
azure,B-SKILLS
  ,O
vmware,B-SKILLS
vcloud,I-SKILLS
  ,O
office365,B-SKILLS
  ,O
adfs,B-SKILLS
  ,O
cisco,B-SKILLS
asa,I-SKILLS
  ,O
cisco,B-SKILLS
meraki,I-SKILLS
  ,O
ms,B-SKILLS
server,I-SKILLS
2012,B-DATE
2008,I-DATE
  ,O
mimecast,B-SKILLS
  ,O
powershell,B-SKILLS
  ,O
avery,O
dennison,O
–,O
data,O
center,O
consolidation,O
site,O
technology,O
upgrades,O
g,O
suite,O
  ,O
mid,B-DATE
2013,I-DATE
  ,O
senior,B-SKILLS
technical,I-SKILLS
program,I-SKILLS
manager,I-SKILLS
    ,O
developed,O
scope,O
plans,O
and,O
budget,O
definition,O
for,O
site,O
moves,O
infrastructure,O
upgrades,O
and,O
data,O
center,O
consolidation,O
projects,O
  ,O
managed,O
google,O
cloud,O
services,O
migration,O
projects,O
gsuite,O
implementation,O
  ,O
developed,O
and,O
managed,O
google,O
application,O
migration,O
plan,O
design,O
and,O
installation,O
      ,O
center,O
for,O
health,O
information,O
and,O
analysis,O
–,O
datacenter,O
consolidation,O
   ,O
early,B-DATE
2013,I-DATE
  ,O
senior,B-DATE
technical,I-DATE
project,I-DATE
manager,I-DATE
     ,O
developed,O
high,O
level,O
data,O
center,O
upgrade,O
plan,O
detailing,O
time,O
resources,O
and,O
finances,O
   ,O
initiated,O
creation,O
of,O
disaster,O
recovery,O
and,O
business,O
continuity,O
plans,O
   ,O
worked,O
with,O
agency,O
leadership,O
to,O
establish,O
facility,O
options,O
for,O
disaster,O
recovery,O
environment,O
      ,O
biogen,B-COMPANY
idec,I-COMPANY
–,O
datacenter,O
consolidation,O
systems,O
performance,O
assessment,O
   ,O
2012,B-DATE
   ,O
technical,B-SKILLS
project,I-SKILLS
manager,I-SKILLS
  ,O
architect,O
  ,O
led,O
data,O
center,O
migration,O
projects,O
and,O
technology,O
upgrade,O
work,O
streams,O
  ,O
successfully,O
managed,O
legacy,O
and,O
rd,O
application,O
migrations,O
   ,O
implemented,O
and,O
managed,O
pre,O
and,O
post,O
migration,O
related,O
performance,O
optimization,O
assessments,O
and,O
troubleshooting,B-SKILLS
for,O
rd,B-SKILLS
and,O
gxp,B-SKILLS
environments,I-SKILLS
      ,O
bmc,O
software,O
–,O
saas,B-SKILLS
cloud,O
analytics,O
platform,O
  ,O
–,O
montreal,O
remote,O
  ,O
2011,B-DATE
  ,O
2012,B-DATE
    ,O
presales,O
architect,O
   ,O
managed,O
proof,O
of,O
concept,O
initiatives,O
for,O
bmc,O
saas,B-SKILLS
cloud,I-SKILLS
performance,O
monitoring,O
products,O
euem,O
truesight,O
edgeview,O
  ,O
managed,O
client,O
s,O
web,B-SKILLS
application,I-SKILLS
performance,O
assessments,O
  ,O
authored,O
kb,O
articles,O
for,O
supported,O
products,O
       ,O
british,B-COMPANY
telecom,I-COMPANY
–,O
north,O
south,O
america,B-LOCATION
japan,B-LOCATION
china,B-LOCATION
europe,B-LOCATION
  ,O
2009,B-DATE
  ,O
2011,B-DATE
    ,O
senior,B-SKILLS
consultant,I-SKILLS
   ,O
client,O
fidelity,O
investments,O
–,O
it,O
operations,O
assessment,O
infrastructure,O
stabilization,O
    ,O
business,B-SKILLS
analyst,I-SKILLS
  ,O
completed,O
incident,O
management,O
reviews,O
across,O
virtualization,O
storage,O
server,O
middleware,O
and,O
network,O
groups,O
vmware,B-SKILLS
vsphere,B-SKILLS
private,B-SKILLS
cloud,I-SKILLS
  ,O
conducted,O
interviews,O
with,O
team,O
leads,O
processed,O
data,O
and,O
created,O
reports,O
  ,O
presented,O
research,O
and,O
findings,O
on,O
industry,O
best,O
practices,O
and,O
solutions,O
required,O
to,O
increase,O
stability,O
security,O
and,O
operational,O
efficiency,O
    ,O
client,O
biogen,O
idec,O
    ,O
global,O
infrastructure,O
modernization,O
project,O
    ,O
management,O
consultant,O
pm,O
architect,O
   ,O
completed,O
global,O
infrastructure,O
audits,O
for,O
datacenters,O
and,O
office,O
locations,O
scope,O
5,O
data,O
centers,O
20,O
sites,O
  ,O
interviewed,O
it,O
personnel,O
site,O
leadership,O
teams,O
for,O
business,O
requirements,O
documented,O
findings,O
  ,O
initial,O
architecture,O
and,O
design,O
deliverables,O
  ,O
successfully,O
led,O
to,O
completion,O
networking,O
infrastructure,O
upgrade,O
projects,O
wan,O
lan,O
wlan,O
and,O
voice,O
for,O
all,O
audited,O
locations,O
     ,O
client,O
wellington,O
management,O
–,O
global,O
it,O
operations,O
stabilization,O
     ,O
systems,O
architect,O
   ,O
stabilized,O
virtual,O
datacenter,O
infrastructure,O
within,O
the,O
engagement,O
period,O
  ,O
developed,O
and,O
documented,O
a,O
multitiered,O
support,O
algorithm,O
addressing,O
companywide,O
storage,O
issues,O
  ,O
designed,O
and,O
implemented,O
intersite,O
secure,O
file,O
transfer,O
services,O
for,O
financial,O
asset,O
management,O
services,O
   ,O
initiated,O
cmdb,O
and,O
virtual,O
machine,O
provisioning,O
integration,O
vmware,O
servicenow,O
  ,O
advised,O
client,O
s,O
it,O
support,O
and,O
thirdparty,O
helpdesk,O
teams,O
on,O
best,O
practices,O
for,O
infrastructure,O
support,O
virtualization,O
and,O
messaging,O
      ,O
porter,B-COMPANY
novelli,I-COMPANY
  ,O
2007,B-DATE
  ,O
2009,B-DATE
    ,O
systems,B-SKILLS
engineer,I-SKILLS
  ,O
architect,O
     ,O
architected,O
implemented,O
and,O
managed,O
company,O
s,O
messaging,O
infrastructure,O
projects,O
      ,O
note,O
additional,O
systems,B-SKILLS
engineering,I-SKILLS
and,O
consulting,O
experience,O
is,O
available,O
upon,O
request,O
         ,O
education,O
  ,O
polotsk,B-UNI
state,I-UNI
university,I-UNI
social,I-UNI
sciences,I-UNI
  ,O
university,B-UNI
of,I-UNI
massachusetts,I-UNI
bsit,I-UNI
   ,O
1996,B-DATE
  ,O
2000,B-DATE
  ,O
2008,B-DATE
  ,O
2010,B-DATE
  ,O
certifications,O
and,O
training,O
    ,O
vmware,B-SKILLS
certified,I-SKILLS
professional,I-SKILLS
vcp5,I-SKILLS
vcp4,I-SKILLS
vcp3,I-SKILLS
  ,O
ccna,B-SKILLS
ccna,B-SKILLS
voice,O
  ,O
mcse,B-SKILLS
  ,O
mcsa,B-SKILLS
  ,O
messaging,O
  ,O
vmware,B-SKILLS
vcloud,I-SKILLS
–,O
architecture,O
   ,O
compuware,O
apm,O
rum,O
  ,O
performance,B-SKILLS
engineering,I-SKILLS
  ,O
bmc,B-SKILLS
truesight,I-SKILLS
and,O
akamai,B-SKILLS
cloud,I-SKILLS
monitor,I-SKILLS
          ,O
vitaly,B-PERSON
huruev,I-PERSON
projects,O
  ,O
1,O
vitaly,B-PERSON
huruev,I-PERSON
    ,O
infobornneocom,B-EMAIL
  ,O
●,O
650,B-NUMBER
4885510,I-NUMBER
●,O
boston,B-LOCATION
●,O
san,B-LOCATION
francisco,I-LOCATION
    ,O
linkedincominbornneo,B-WEBSITE
    ,O
management,O
consultant,O
  ,O
business,O
solutions,O
architect,O
            ,O
competencies,O
  ,O
cloud,B-SKILLS
strategy,I-SKILLS
      ,O
project,B-SKILLS
management,I-SKILLS
   ,O
process,B-SKILLS
optimization,I-SKILLS
  ,O
solution,O
architecture,O
        ,O
summary,O
  ,O
over,O
twelve,B-DATE
years,I-DATE
of,O
  ,O
leadership,O
experience,O
in,O
enterprise,O
it,O
    ,O
over,B-DATE
eight,I-DATE
years,I-DATE
of,O
experience,O
with,O
private,B-SKILLS
hybrid,I-SKILLS
and,O
public,B-SKILLS
cloud,B-SKILLS
and,O
data,O
center,O
technologies,O
     ,O
extensive,O
experience,O
with,O
leading,O
global,O
business,O
and,O
large,O
scale,O
it,O
transformation,O
programs,O
     ,O
unique,O
exposure,O
to,O
enterprise,O
grade,O
green,O
field,O
software,O
defined,O
datacenter,O
implementations,O
     ,O
developer,O
of,O
proprietary,O
project,O
management,O
methodology,O
        ,O
experience,O
           ,O
wwt,O
catholic,O
health,O
initiatives–,O
nationwide,O
next,O
generation,O
converged,O
infrastructure,O
datacenter,O
design,O
implementation,O
workload,O
migration,O
  ,O
houston,B-COMPANY
tx,I-COMPANY
remote,I-COMPANY
  ,O
2016,B-DATE
  ,O
present,B-DATE
  ,O
management,O
consultant,O
  ,O
technical,O
pm,O
  ,O
architect,O
     ,O
designed,O
and,O
implemented,O
green,O
field,O
converged,O
infrastructure,O
based,O
on,O
hpe,O
vmware,O
cisco,B-SKILLS
3par,O
solutions,O
  ,O
successfully,O
managed,O
migration,O
of,O
  ,O
100,O
critical,O
and,O
legacy,O
applications,O
to,O
the,O
new,O
hybrid,B-SKILLS
cloud,I-SKILLS
environment,O
   ,O
advised,O
the,O
client,O
on,O
sla,B-SKILLS
optimization,I-SKILLS
ensuring,O
999,B-NUMBER
  ,O
critical,O
systems,O
uptime,O
  ,O
guided,O
the,O
vendor,O
to,O
avoid,O
costly,O
litigation,O
issues,O
by,O
leveraging,O
latest,O
forecasting,O
and,O
trending,B-SKILLS
analysis,I-SKILLS
   ,O
managed,O
  ,O
five,B-NUMBER
data,O
centers,O
delivery,O
projects,O
agile,B-SKILLS
  ,O
scrum,O
  ,O
proprietary,O
methodologies,O
resulted,O
in,O
new,O
larger,O
contract,O
win,O
for,O
wwt,O
               ,O
technology,O
   ,O
hpe,B-SKILLS
cs700,O
  ,O
hc380,B-SKILLS
hci,B-SKILLS
vsphere,B-SKILLS
6065,I-SKILLS
vrealize,B-SKILLS
emc,B-SKILLS
3ppar,B-SKILLS
cisco,B-SKILLS
nexus,B-SKILLS
brocade,O
   ,O
virtustream,B-SKILLS
emc,I-SKILLS
–,O
private,B-SKILLS
cloud,I-SKILLS
automation,O
cmdb,B-SKILLS
integration,I-SKILLS
   ,O
southborough,B-COMPANY
ma,I-COMPANY
remote,I-COMPANY
  ,O
2015,B-DATE
  ,O
2016,B-DATE
  ,O
senior,B-SKILLS
technical,I-SKILLS
business,I-SKILLS
systems,I-SKILLS
architect,I-SKILLS
  ,O
pm,O
    ,O
designed,O
high,O
level,O
datacenter,O
automation,O
architecture,O
  ,O
proposed,O
solutions,O
for,O
integration,O
process,O
and,O
architecture,O
leveraging,O
vrealize,O
automation,O
service,O
now,O
active,O
directory,O
and,O
emc,B-SKILLS
storage,O
abstraction,O
software,O
layers,O
  ,O
managed,O
devops,O
team,O
responsible,O
for,O
cloud,B-SKILLS
automation,I-SKILLS
and,O
orchestration,O
  ,O
successfully,O
managed,O
design,O
for,O
vce,O
vblock,O
monitoring,O
platform,O
      ,O
technology,O
  ,O
vmware,O
vrealize,O
   ,O
vce,O
  ,O
ms,B-SKILLS
sql,I-SKILLS
  ,O
servicenow,B-SKILLS
  ,O
emc,B-SKILLS
vipr,I-SKILLS
  ,O
vmware,B-SKILLS
whirlpool,I-SKILLS
–,O
virtual,O
infrastructure,O
assessment,O
data,O
consolidation,O
and,O
performance,O
analysis,O
best,O
practices,O
on,O
hybrid,B-SKILLS
cloud,I-SKILLS
design,O
and,O
workload,O
migrations,O
   ,O
st,B-COMPANY
joseph,I-COMPANY
mi,I-COMPANY
  ,O
late,B-DATE
2015,I-DATE
  ,O
business,O
solutions,O
consultant,O
  ,O
architect,O
    ,O
developed,O
baseline,O
analysis,O
for,O
vcloud,B-SKILLS
air,B-SKILLS
and,O
aws,B-SKILLS
application,O
migrations,O
  ,O
identified,O
critical,O
areas,O
in,O
the,O
infrastructure,O
introducing,O
proactive,O
remediation,O
cost,O
savings,O
over,O
30,B-NUMBER
reduction,O
  ,O
created,O
analysis,O
and,O
implementation,O
plan,O
for,O
webmail,O
to,O
g,O
suite,O
migration,O
  ,O
advised,O
on,O
aws,B-SKILLS
environment,I-SKILLS
best,O
practices,O
configurationec2,O
elb,B-SKILLS
vpc,B-SKILLS
s3,B-SKILLS
route53,B-SKILLS
    ,O
technology,O
  ,O
vsphere,B-SKILLS
55,O
  ,O
aws,B-SKILLS
  ,O
vcloud,B-SKILLS
air,I-SKILLS
  ,O
cisco,B-SKILLS
ucs,B-SKILLS
  ,O
biogen,O
  ,O
–,O
it,B-COMPANY
operations,I-COMPANY
msp,I-COMPANY
assessment,I-COMPANY
boston,I-COMPANY
rtp,I-LOCATION
denmark,B-LOCATION
  ,O
mid,B-DATE
2015,I-DATE
  ,O
business,O
solutions,O
architect,O
    ,O
led,O
information,O
gathering,O
activities,O
team,O
interviews,O
system,O
scans,O
documentation,O
reviews,O
data,O
center,O
visits,O
  ,O
conducted,O
assessment,O
data,O
dissemination,O
and,O
analysis,O
leveraging,O
latest,O
bi,O
and,O
infrastructure,O
intelligence,O
tools,O
  ,O
created,O
integrated,O
architecture,O
solution,O
deliverables,O
for,O
infrastructure,O
data,O
center,O
and,O
end,O
user,O
computing,O
   ,O
utilized,O
cobit5,B-SKILLS
itil,I-SKILLS
and,O
nist,B-SKILLS
frameworks,I-SKILLS
to,O
review,O
existing,O
disaster,O
recovery,O
and,O
business,O
continuity,O
solutions,O
   ,O
presented,O
recommendations,O
to,O
cio,O
vp,O
and,O
it,O
directors,O
  ,O
identified,O
long,O
term,O
business,O
impact,O
based,O
on,O
the,O
tactical,O
and,O
strategic,O
changes,O
discovered,O
potential,O
infrastructure,O
savings,O
over,O
2,O
million,O
dollars,O
      ,O
technology,O
  ,O
cisco,B-SKILLS
rs,B-SKILLS
  ,O
cisco,B-SKILLS
nexus,B-SKILLS
  ,O
solarwinds,B-SKILLS
  ,O
vsphere,B-SKILLS
  ,O
emc,B-SKILLS
vnx,I-SKILLS
  ,O
emc,B-SKILLS
vmax,I-SKILLS
  ,O
ms,B-SKILLS
server,I-SKILLS
  ,O
rhel,B-SKILLS
  ,O
ms,B-SKILLS
ad,I-SKILLS
dns,I-SKILLS
  ,O
emc,B-SKILLS
–,O
software,O
defined,O
datacenter,O
design,O
and,O
implementation,O
southborough,O
ma,O
  ,O
2014,B-DATE
  ,O
2015,B-DATE
  ,O
senior,B-SKILLS
business,I-SKILLS
systems,I-SKILLS
consultant,I-SKILLS
  ,O
product,O
manager,O
     ,O
defined,O
product,O
vision,O
and,O
implementation,O
strategy,O
  ,O
identified,O
technology,O
verticals,O
suitable,O
for,O
transitioning,O
company,O
s,O
datacenters,O
to,O
  ,O
green,O
field,O
  ,O
steady,O
state,O
and,O
infrastructure,O
automation,O
adoption,O
  ,O
defined,O
business,O
requirements,O
for,O
a,O
new,O
iaas,B-SKILLS
paas,B-SKILLS
and,O
saas,B-SKILLS
platform,I-SKILLS
design,O
  ,O
advised,O
on,O
infrastructure,O
as,O
a,O
code,O
projects,O
agile,B-SKILLS
cicd,I-SKILLS
development,O
devops,O
initiatives,O
   ,O
identified,O
potential,O
roadblocks,O
for,O
the,O
program,O
enterprise,O
wide,O
cost,O
savings,O
close,O
to,O
30,O
of,O
overall,O
budget,O
proposed,O
a,O
new,O
delivery,O
methodology,O
for,O
the,O
program,O
increased,O
program,O
success,O
rate,O
by,O
50,O
     ,O
technology,O
  ,O
vsphere,B-SKILLS
   ,O
vrealize,O
  ,O
vcloud,B-SKILLS
air,I-SKILLS
  ,O
cloudfoundry,O
  ,O
nsx,B-SKILLS
  ,O
vce,B-SKILLS
vblock,I-SKILLS
  ,O
chef,B-SKILLS
  ,O
puppet,B-SKILLS
  ,O
emc,B-SKILLS
vipr,I-SKILLS
  ,O
emc,B-SKILLS
vmax,I-SKILLS
  ,O
emc,B-SKILLS
vplex,I-SKILLS
  ,O
versionone,B-SKILLS
  ,O
keolis,O
–,O
hybrid,B-COMPANY
cloud,I-COMPANY
office,I-COMPANY
365,O
messaging,O
services,O
implementation,O
   ,O
mid,B-DATE
2014,I-DATE
  ,O
hybrid,B-SKILLS
cloud,I-SKILLS
architect,O
  ,O
project,B-SKILLS
manager,I-SKILLS
    ,O
managed,O
hybrid,B-SKILLS
cloud,I-SKILLS
infrastructure,O
implementation,O
  ,O
conducted,O
onpremises,O
infrastructure,O
integration,O
with,O
azure,B-SKILLS
platform,O
office365,O
services,O
hosted,O
datacenter,O
and,O
remote,O
offices,O
  ,O
orchestrated,O
messaging,O
security,O
services,O
implementation,O
  ,O
managed,O
third,O
party,O
vendors,O
during,O
the,O
infrastructure,O
migration,O
phase,O
reporting,O
to,O
cio,O
  ,O
completed,O
zero,O
downtime,O
transition,O
of,O
critical,O
infrastructure,O
services,O
to,O
a,O
new,O
cloud,O
platform,O
managed,O
project,O
delivery,O
on,O
time,O
saving,O
the,O
company,O
millions,O
of,O
dollars,O
on,O
public,O
relations,O
campaigns,O
and,O
consulting,O
costs,O
      ,O
technology,O
  ,O
azure,B-SKILLS
  ,O
vmware,B-SKILLS
vcloud,I-SKILLS
  ,O
office365,B-SKILLS
  ,O
adfs,B-SKILLS
  ,O
cisco,B-SKILLS
asa,I-SKILLS
  ,O
cisco,B-SKILLS
meraki,I-SKILLS
  ,O
ms,B-SKILLS
server,I-SKILLS
2012,B-DATE
2008,I-DATE
  ,O
mimecast,B-SKILLS
  ,O
powershell,B-SKILLS
  ,O
avery,O
dennison,O
–,O
data,O
center,O
consolidation,O
site,O
technology,O
upgrades,O
g,O
suite,O
  ,O
mid,B-DATE
2013,I-DATE
  ,O
senior,B-SKILLS
technical,I-SKILLS
program,I-SKILLS
manager,I-SKILLS
    ,O
developed,O
scope,O
plans,O
and,O
budget,O
definition,O
for,O
site,O
moves,O
infrastructure,O
upgrades,O
and,O
data,O
center,O
consolidation,O
projects,O
  ,O
managed,O
google,O
cloud,O
services,O
migration,O
projects,O
gsuite,O
implementation,O
  ,O
developed,O
and,O
managed,O
google,O
application,O
migration,O
plan,O
design,O
and,O
installation,O
      ,O
center,O
for,O
health,O
information,O
and,O
analysis,O
–,O
datacenter,O
consolidation,O
   ,O
early,B-DATE
2013,I-DATE
  ,O
senior,B-DATE
technical,I-DATE
project,I-DATE
manager,I-DATE
     ,O
developed,O
high,O
level,O
data,O
center,O
upgrade,O
plan,O
detailing,O
time,O
resources,O
and,O
finances,O
   ,O
initiated,O
creation,O
of,O
disaster,O
recovery,O
and,O
business,O
continuity,O
plans,O
   ,O
worked,O
with,O
agency,O
leadership,O
to,O
establish,O
facility,O
options,O
for,O
disaster,O
recovery,O
environment,O
      ,O
biogen,B-COMPANY
idec,I-COMPANY
–,O
datacenter,O
consolidation,O
systems,O
performance,O
assessment,O
   ,O
2012,B-DATE
   ,O
technical,B-SKILLS
project,I-SKILLS
manager,I-SKILLS
  ,O
architect,O
  ,O
led,O
data,O
center,O
migration,O
projects,O
and,O
technology,O
upgrade,O
work,O
streams,O
  ,O
successfully,O
managed,O
legacy,O
and,O
rd,O
application,O
migrations,O
   ,O
implemented,O
and,O
managed,O
pre,O
and,O
post,O
migration,O
related,O
performance,O
optimization,O
